"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","45 to 54 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114978890","16.3.5.1.5.1","90000","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","55 to 64 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114978907","16.3.6.1.4.1","68.3","","","","1"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","55 to 64 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114978908","16.3.6.1.5.1","150000","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","65 years and older","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114978925","16.3.7.1.4.1","67.1","","","","1"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","65 years and older","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114978926","16.3.7.1.5.1","179000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","Under 65 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114979717","16.10.2.1.4.1","56.2","","","","1"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","Under 65 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114979718","16.10.2.1.5.1","20000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114979735","16.10.3.1.4.1","57.5","","","","1"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114979736","16.10.3.1.5.1","15000","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","35 to 44 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114979753","16.10.4.1.4.1","59.4","","","","1"
"2023","Toronto, Ontario","2016S0503535","Tax Free Saving Accounts (TFSA)","35 to 44 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114979754","16.10.4.1.5.1","14000","E","","","0"
