"REF_DATE","GEO","DGUID","Seasonality","Credit liabilities of households","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-10","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2186235","","","","0"
"2023-11","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2193147","","","","0"
"2023-12","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2196576","","","","0"
"2024-01","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2196133","","","","0"
"2024-02","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2199333","","","","0"
"2024-03","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2203610","","","","0"
"2024-04","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2209626","","","","0"
"2024-05","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2221341","","","","0"
"2024-06","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2233221","","","","0"
"2024-07","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2243964","","","","0"
"2024-08","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2254808","","","","0"
"2024-09","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2263791","","","","0"
"2024-10","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2273045","","","","0"
"2024-11","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2284608","","","","0"
"2024-12","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2291470","","","","0"
"2025-01","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2295993","","","","0"
"2025-02","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2301687","","","","0"
"2025-03","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2306938","","","","0"
"2025-04","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2316642","","","","0"
"2025-05","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2328976","","","","0"
"2025-06","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2342926","","","","0"
"2025-07","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2351740","","","","0"
"2025-08","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2364768","","","","0"
"2025-09","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2374615","","","","0"
"2025-10","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2386126","","","","0"
"2025-11","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2394844","","","","0"
"2025-12","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2400565","","","","0"
"2026-01","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2403959","","","","0"
"2026-02","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2407906","","","","0"
"2026-03","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2411478","","","","0"
"2026-04","Canada","2016A000011124","Raw data","Residential mortgages","Dollars","81","millions","6","v1231415584","1.1.35","2418996","","","","0"


